time,arrivals,departures,queue_length,server_busy
497.10481792465964,458,454,3,True
497.25019891506344,459,454,4,True
497.9996565003103,460,454,5,True
498.08511118344217,461,454,6,True
498.13557030393815,461,455,5,True
498.40831183354,462,455,6,True
498.65623618780825,462,456,5,True
498.7117272984866,463,456,6,True
499.4943693683526,464,456,7,True
500.14124942790517,465,456,8,True
500.4193199097204,465,457,7,True
500.88581854740266,466,457,8,True
501.2469087875492,467,457,9,True
501.2649265492465,467,458,8,True
502.65758796315157,468,458,9,True
502.9647526595998,468,459,8,True
503.4467380593683,468,460,7,True
503.6090926622329,468,461,6,True
503.8276785974121,468,462,5,True
504.6986513386861,469,462,6,True
504.8998784741799,469,463,5,True
505.1631582672646,469,464,4,True
505.1844087254348,469,465,3,True
505.62309203117314,470,465,4,True
505.7889599051205,471,465,5,True
506.38671585962703,472,465,6,True
506.49740537382917,472,466,5,True
506.7008825655635,473,466,6,True
506.7772356093898,473,467,5,True
506.78169811631443,474,467,6,True
506.9993170289799,474,468,5,True
507.40223897960277,474,469,4,True
507.7916860262762,474,470,3,True
508.3829677644007,474,471,2,True
508.67366599186295,474,472,1,True
508.9375069228221,474,473,0,True
508.95059349049654,474,474,0,False
509.28708966047697,475,474,0,True
510.33119730602266,475,475,0,False
510.49872173178767,476,475,0,True
510.8369926821628,476,476,0,False
511.4814968380386,477,476,0,True
511.6042180889794,478,476,1,True
511.7606578232007,479,476,2,True
511.82037079715894,479,477,1,True
512.6657344840412,479,478,0,True
512.9637115761374,479,479,0,False
515.1000099544574,480,479,0,True
515.8250533421229,481,479,1,True
516.0448254375473,481,480,0,True
516.7765456907846,481,481,0,False
517.3680947614032,482,481,0,True
517.3738362617738,483,481,1,True
518.3081132397465,483,482,0,True
518.3398138379696,483,483,0,False
521.6795360719384,484,483,0,True
521.8117516067857,485,483,1,True
522.0122006965828,485,484,0,True
522.0279739768642,486,484,1,True
522.3627732060438,486,485,0,True
522.468488627107,487,485,1,True
522.9549791617022,488,485,2,True
524.2894072509846,488,486,1,True
524.8714537234819,488,487,0,True
525.2036908002123,488,488,0,False
525.96306478334,489,488,0,True
526.572475567938,489,489,0,False
526.8285210499149,490,489,0,True
527.0273674740506,490,490,0,False
527.1197922446687,491,490,0,True
527.1994130433814,492,490,1,True
527.9226555237375,493,490,2,True
528.6486046667077,493,491,1,True
528.90308118872,493,492,0,True
530.0241641143451,493,493,0,False
530.9756313221022,494,493,0,True
531.2233985766163,494,494,0,False
534.1008714273426,495,494,0,True
534.2009698243838,495,495,0,False
534.6306391359088,496,495,0,True
535.1102071381634,496,496,0,False
535.998681131949,497,496,0,True
536.5704112559722,497,497,0,False
537.5339146394925,498,497,0,True
537.6359661321917,498,498,0,False
539.1293920880241,499,498,0,True
540.563715253672,500,498,1,True
540.7685793812169,500,499,0,True
540.9204253693556,500,500,0,False
540.9489097083236,501,500,0,True
541.0767565665824,502,500,1,True
541.1603796535145,502,501,0,True
541.6922007278937,502,502,0,False
542.1709149834113,503,502,0,True
542.7034773125204,503,503,0,False
543.1392907950974,504,503,0,True
543.2076102088924,505,503,1,True
543.7170495651023,506,503,2,True
543.964592193771,507,503,3,True
544.6667818635455,507,504,2,True
545.2067763517935,508,504,3,True
545.5456979117029,509,504,4,True
546.0827506991552,509,505,3,True
546.1148061244508,509,506,2,True
546.1729567480562,510,506,3,True
546.5378965806667,510,507,2,True
546.5428278745258,511,507,3,True
547.184465378394,511,508,2,True
547.2126026829164,512,508,3,True
547.7660179739227,513,508,4,True
548.2602479545857,513,509,3,True
548.4030045718423,514,509,4,True
548.9815773773051,515,509,5,True
549.507589722601,515,510,4,True
549.6764103746706,515,511,3,True
549.9703429763283,516,511,4,True
550.6240343117943,516,512,3,True
551.0036319815492,517,512,4,True
551.339613593927,517,513,3,True
551.9674333795613,517,514,2,True
552.0215201623947,517,515,1,True
552.1322075971963,518,515,2,True
552.2663084750769,518,516,1,True
553.4344318904701,518,517,0,True
554.2274682170327,519,517,1,True
554.5808160376797,519,518,0,True
555.1398723851637,519,519,0,False
557.1615750527521,520,519,0,True
557.6797830957714,520,520,0,False
557.855021632321,521,520,0,True
557.8998585057521,521,521,0,False
558.5910663155659,522,521,0,True
558.9210793205872,523,521,1,True
559.4763734279647,523,522,0,True
560.1470385403613,523,523,0,False
561.1563942056544,524,523,0,True
561.9544388511067,524,524,0,False
562.0960600344131,525,524,0,True
562.7154081625205,526,524,1,True
563.2331365626209,526,525,0,True
563.4161735170431,526,526,0,False
563.4968249818265,527,526,0,True
563.7687308385568,528,526,1,True
563.9788966307128,528,527,0,True
564.5470662904793,528,528,0,False
565.57451112123,529,528,0,True
566.1339635013156,529,529,0,False
567.1757165764069,530,529,0,True
567.341665481584,530,530,0,False
567.4352640112055,531,530,0,True
568.3538890327272,532,530,1,True
569.2014907848101,533,530,2,True
569.218055570768,534,530,3,True
569.4913285660701,534,531,2,True
569.7146098393519,535,531,3,True
571.0309220479747,535,532,2,True
571.3713223242573,535,533,1,True
571.3865840280239,536,533,2,True
571.8526645434312,537,533,3,True
572.0747478487364,537,534,2,True
572.3645817579232,537,535,1,True
572.4565218449267,538,535,2,True
572.5290025252125,538,536,1,True
572.9779206572143,538,537,0,True
573.2456289622912,539,537,1,True
573.3619531963984,540,537,2,True
573.9600956633665,541,537,3,True
575.0277968718559,541,538,2,True
575.4035982162362,542,538,3,True
575.5129428371451,542,539,2,True
575.8371338192898,542,540,1,True
575.9472837002698,542,541,0,True
577.3818780835634,542,542,0,False
578.055829700096,543,542,0,True
578.1030008790135,543,543,0,False
578.613909126046,544,543,0,True
578.8918937381912,544,544,0,False
579.5347840055906,545,544,0,True
580.1757008752179,546,544,1,True
580.4009284388163,546,545,0,True
580.4324322312908,546,546,0,False
582.0603622113885,547,546,0,True
582.3212833575428,547,547,0,False
582.9336391692324,548,547,0,True
583.0891254223783,549,547,1,True
583.2511201466016,549,548,0,True
583.3181635484411,550,548,1,True
583.5881909498687,550,549,0,True
583.7389983238725,551,549,1,True
584.4603133889551,551,550,0,True
584.9235925530264,552,550,1,True
585.2072454372209,552,551,0,True
585.8959137391232,553,551,1,True
586.1387882356215,553,552,0,True
586.3715168824531,553,553,0,False
588.8540032910282,554,553,0,True
588.8690904639508,555,553,1,True
590.2902334144693,555,554,0,True
590.3606788174328,555,555,0,False
591.9074447391191,556,555,0,True
591.9869878074095,556,556,0,False
592.4772982544326,557,556,0,True
592.4896440521779,558,556,1,True
592.4897152783357,559,556,2,True
592.5883843415822,559,557,1,True
592.824008062682,560,557,2,True
592.9526034192172,561,557,3,True
593.7533328174825,561,558,2,True
593.8709983648367,562,558,3,True
594.0886530623412,563,558,4,True
594.4299200107707,564,558,5,True
594.903785060169,564,559,4,True
595.7080456746904,564,560,3,True
596.1895544219775,564,561,2,True
597.4306743656986,564,562,1,True
597.5033382817028,564,563,0,True
598.5350553817175,564,564,0,False
599.4932755647839,565,564,0,True
599.9462882720695,566,564,1,True
600.3099651915207,567,564,2,True
600.4044228453764,567,565,1,True
601.133325363359,568,565,2,True
601.3724064127687,568,566,1,True
602.7394128469973,569,566,2,True
602.8793829778189,569,567,1,True
602.9405880376274,570,567,2,True
603.064001014817,570,568,1,True
603.1984104962554,570,569,0,True
603.2044200037639,570,570,0,False
604.2924574596111,571,570,0,True
604.4512815157601,571,571,0,False
604.6547550583418,572,571,0,True
604.8980260889871,572,572,0,False
605.7800282942399,573,572,0,True
606.372853017105,574,572,1,True
606.4565876554526,574,573,0,True
606.9040414883041,574,574,0,False
607.672260486288,575,574,0,True
608.3704536170812,575,575,0,False
610.8176584719856,576,575,0,True
611.1316994065991,577,575,1,True
611.3032957368711,578,575,2,True
611.7607921835269,578,576,1,True
612.4805195091404,578,577,0,True
613.6711162792766,578,578,0,False
614.1470110159358,579,578,0,True
614.7270927718315,579,579,0,False
615.019755746722,580,579,0,True
617.5015313668158,581,579,1,True
617.5676254674029,582,579,2,True
617.7568328515697,583,579,3,True
618.2044354812625,584,579,4,True
618.6297927084144,585,579,5,True
618.8262685449345,586,579,6,True
619.8237357032812,586,580,5,True
619.9342293049037,587,580,6,True
620.1940823523182,587,581,5,True
620.4848574900146,587,582,4,True
620.9820562579666,587,583,3,True
621.3468806607459,587,584,2,True
622.0554156319544,587,585,1,True
622.1046126790209,588,585,2,True
622.2480036176005,588,586,1,True
623.8730164438067,589,586,2,True
623.9421394902276,590,586,3,True
623.9464990721526,591,586,4,True
624.4784551303103,592,586,5,True
624.5280011833585,592,587,4,True
625.2514066345454,593,587,5,True
625.3927131303351,593,588,4,True
625.7855823909587,594,588,5,True
625.8077912724536,594,589,4,True
626.143200772093,594,590,3,True
626.7151424114998,595,590,4,True
626.7818335100677,596,590,5,True
